season,team_abbrev,team_name,runs_per_game,onbase_plus_slugging,onbase_plus_slugging_plus
2021,ARI,Arizona Diamondbacks,4.19,.692,87
2021,ATL,Atlanta Braves,4.91,.754,98
2021,BAL,Baltimore Orioles,4.07,.705,92
2021,BOS,Boston Red Sox,5.12,.777,106
2021,CHC,Chicago Cubs,4.35,.719,93
2021,CHW,Chicago White Sox,4.91,.758,106
2021,CIN,Cincinnati Reds,4.85,.759,95
2021,CLE,Cleveland Indians,4.43,.710,94
2021,COL,Colorado Rockies,4.59,.731,86
2021,DET,Detroit Tigers,4.30,.707,96
2021,HOU,Houston Astros,5.33,.783,113
2021,KCR,Kansas City Royals,4.23,.702,90
2021,LAA,Los Angeles Angels,4.46,.717,93
2021,LAD,Los Angeles Dodgers,5.12,.759,101
2021,MIA,Miami Marlins,3.85,.671,81
2021,MIL,Milwaukee Brewers,4.56,.713,92
2021,MIN,Minnesota Twins,4.50,.738,103
2021,NYM,New York Mets,3.93,.705,93
2021,NYY,New York Yankees,4.39,.729,100
2021,OAK,Oakland Athletics,4.59,.723,102
2021,PHI,Philadelphia Phillies,4.53,.726,95
2021,PIT,Pittsburgh Pirates,3.76,.673,82
2021,SDP,San Diego Padres,4.50,.722,101
2021,SEA,Seattle Mariners,4.30,.688,92
2021,SFG,San Francisco Giants,4.96,.769,107
2021,STL,St. Louis Cardinals,4.36,.725,99
2021,TBR,Tampa Bay Rays,5.29,.750,110
2021,TEX,Texas Rangers,3.86,.670,83
2021,TOR,Toronto Blue Jays,5.22,.797,113
2021,WSN,Washington Nationals,4.47,.754,107
2022,ARI,Arizona Diamondbacks,4.33,.689,95
2022,ATL,Atlanta Braves,4.87,.761,109
2022,BAL,Baltimore Orioles,4.16,.695,99
2022,BOS,Boston Red Sox,4.54,.731,102
2022,CHC,Chicago Cubs,4.06,.698,94
2022,CHW,Chicago White Sox,4.23,.698,97
2022,CIN,Cincinnati Reds,4.00,.676,85
2022,CLE,Cleveland Guardians,4.31,.699,102
2022,COL,Colorado Rockies,4.31,.713,91
2022,DET,Detroit Tigers,3.44,.632,82
2022,HOU,Houston Astros,4.55,.743,111
2022,KCR,Kansas City Royals,3.95,.686,93
2022,LAA,Los Angeles Angels,3.85,.687,93
2022,LAD,Los Angeles Dodgers,5.23,.775,115
2022,MIA,Miami Marlins,3.62,.658,85
2022,MIL,Milwaukee Brewers,4.48,.724,103
2022,MIN,Minnesota Twins,4.30,.718,105
2022,NYM,New York Mets,4.77,.744,113
2022,NYY,New York Yankees,4.98,.751,112
2022,OAK,Oakland Athletics,3.51,.626,84
2022,PHI,Philadelphia Phillies,4.61,.739,108
2022,PIT,Pittsburgh Pirates,3.65,.655,85
2022,SDP,San Diego Padres,4.35,.700,102
2022,SEA,Seattle Mariners,4.26,.704,106
2022,SFG,San Francisco Giants,4.42,.705,100
2022,STL,St. Louis Cardinals,4.77,.745,112
2022,TBR,Tampa Bay Rays,4.11,.686,99
2022,TEX,Texas Rangers,4.36,.696,96
2022,TOR,Toronto Blue Jays,4.78,.760,117
2022,WSN,Washington Nationals,3.72,.688,98
2023,ARI,Arizona Diamondbacks,4.60,.730,98
2023,ATL,Atlanta Braves,5.85,.845,126
2023,BAL,Baltimore Orioles,4.98,.742,107
2023,BOS,Boston Red Sox,4.77,.748,100
2023,CHC,Chicago Cubs,5.06,.751,106
2023,CHW,Chicago White Sox,3.96,.675,84
2023,CIN,Cincinnati Reds,4.83,.746,98
2023,CLE,Cleveland Guardians,4.09,.695,91
2023,COL,Colorado Rockies,4.45,.715,85
2023,DET,Detroit Tigers,4.08,.686,89
2023,HOU,Houston Astros,5.10,.768,111
2023,KCR,Kansas City Royals,4.17,.700,90
2023,LAA,Los Angeles Angels,4.56,.743,101
2023,LAD,Los Angeles Dodgers,5.59,.795,114
2023,MIA,Miami Marlins,4.11,.721,90
2023,MIL,Milwaukee Brewers,4.49,.704,92
2023,MIN,Minnesota Twins,4.80,.753,105
2023,NYM,New York Mets,4.43,.723,99
2023,NYY,New York Yankees,4.15,.701,91
2023,OAK,Oakland Athletics,3.61,.669,88
2023,PHI,Philadelphia Phillies,4.91,.765,107
2023,PIT,Pittsburgh Pirates,4.27,.707,91
2023,SDP,San Diego Padres,4.64,.742,104
2023,SEA,Seattle Mariners,4.68,.734,108
2023,SFG,San Francisco Giants,4.16,.695,93
2023,STL,St. Louis Cardinals,4.44,.742,101
2023,TBR,Tampa Bay Rays,5.31,.776,114
2023,TEX,Texas Rangers,5.44,.790,116
2023,TOR,Toronto Blue Jays,4.60,.745,105
2023,WSN,Washington Nationals,4.32,.709,96
2024,ARI,Arizona Diamondbacks,5.47,.777,114
2024,ATL,Atlanta Braves,4.35,.724,100
2024,BAL,Baltimore Orioles,4.85,.751,115
2024,BOS,Boston Red Sox,4.64,.741,108
2024,CHC,Chicago Cubs,4.54,.710,100
2024,CHW,Chicago White Sox,3.13,.618,76
2024,CIN,Cincinnati Reds,4.31,.693,88
2024,CLE,Cleveland Guardians,4.40,.703,99
2024,COL,Colorado Rockies,4.21,.704,87
2024,DET,Detroit Tigers,4.21,.685,92
2024,HOU,Houston Astros,4.60,.741,110
2024,KCR,Kansas City Royals,4.54,.710,101
2024,LAA,Los Angeles Angels,3.92,.671,89
2024,LAD,Los Angeles Dodgers,5.20,.781,120
2024,MIA,Miami Marlins,3.93,.678,87
2024,MIL,Milwaukee Brewers,4.80,.729,102
2024,MIN,Minnesota Twins,4.58,.726,103
2024,NYM,New York Mets,4.74,.734,108
2024,NYY,New York Yankees,5.03,.761,115
2024,OAK,Oakland Athletics,3.97,.694,101
2024,PHI,Philadelphia Phillies,4.84,.750,106
2024,PIT,Pittsburgh Pirates,4.10,.672,87
2024,SDP,San Diego Padres,4.69,.745,107
2024,SEA,Seattle Mariners,4.17,.687,102
2024,SFG,San Francisco Giants,4.28,.701,100
2024,STL,St. Louis Cardinals,4.15,.703,97
2024,TBR,Tampa Bay Rays,3.73,.669,92
2024,TEX,Texas Rangers,4.22,.686,100
2024,TOR,Toronto Blue Jays,4.14,.703,98
2024,WSN,Washington Nationals,4.07,.684,93
2025,ARI,Arizona Diamondbacks,4.88,.757,108
2025,ATH,Athletics,4.52,.749,106
2025,ATL,Atlanta Braves,4.47,.720,102
2025,BAL,Baltimore Orioles,4.18,.699,96
2025,BOS,Boston Red Sox,4.85,.745,106
2025,CHC,Chicago Cubs,4.90,.751,116
2025,CHW,Chicago White Sox,3.99,.675,88
2025,CIN,Cincinnati Reds,4.42,.706,90
2025,CLE,Cleveland Guardians,3.97,.670,85
2025,COL,Colorado Rockies,3.69,.679,80
2025,DET,Detroit Tigers,4.68,.730,101
2025,HOU,Houston Astros,4.23,.714,97
2025,KCR,Kansas City Royals,4.02,.706,96
2025,LAA,Los Angeles Angels,4.15,.695,91
2025,LAD,Los Angeles Dodgers,5.09,.768,114
2025,MIA,Miami Marlins,4.38,.708,95
2025,MIL,Milwaukee Brewers,4.98,.736,105
2025,MIN,Minnesota Twins,4.19,.708,94
2025,NYM,New York Mets,4.73,.753,113
2025,NYY,New York Yankees,5.24,.787,118
2025,PHI,Philadelphia Phillies,4.80,.759,106
2025,PIT,Pittsburgh Pirates,3.60,.655,82
2025,SDP,San Diego Padres,4.33,.711,96
2025,SEA,Seattle Mariners,4.73,.740,113
2025,SFG,San Francisco Giants,4.35,.697,99
2025,STL,St. Louis Cardinals,4.25,.693,96
2025,TBR,Tampa Bay Rays,4.41,.714,99
2025,TEX,Texas Rangers,4.22,.684,100
2025,TOR,Toronto Blue Jays,4.93,.761,108
2025,WSN,Washington Nationals,4.24,.693,96
